label	text
0	只能怪時藝多媒體，購票看達利展，沒買導覽，現場工作人員卻一直嚷嚷「這是付費的導覽」，導覽人還一直霸佔展品前，觀展像次等公民，被懷疑偷聽導覽，我都沒說導覽聲音影響我觀展…何況耳朵是能夠關起來嗎？
0	本來一樓洗手間附近有一排桌子及椅子供不是一樓咖啡店客人使用 现在全部被搬空 只剩長板凳子 不知道是什麼道理 不像是個關心弱勢及一般客人的機關衙門
1	紀念獨裁者的殿堂。顯示台灣人的政治矛盾，濫殺台灣人生靈塗炭的魔頭蔣志清，為何到了民主時代，這座帝王規格的靈廟仍然在供奉他？
0	今天來參加迪士尼動畫展，結束後要拿雨傘，人員不在，結果駐點員警叫我明天再來拿，也沒想幫忙詢問就直接說我們明天再來拿？ 不住台北市的朋友要注意了，東西遺忘的話駐點員警會跟你說明天再來拿，真是夠好笑🤭！ …
0	亂七八糟 …
0	庭院裡的廁所壞了！
0	感覺很恐怖？！
0	一堆人在池塘邊灑飼料在餵鴿子製造環境汙染，都沒人在管理🤬🤬 …
0	直接說：可以不要亂動我們的東西嗎！態度超級差的講
0	Chinese murderer Chiang killed Taiwanese people in Taiwan.
0	不懂耶 為什麼要浪費台灣人的納稅錢來養一個破銅爛鐵?!!!這老頭簽了多少張死刑狀來處決台灣人 台灣人還不自覺 還要台灣人的小孩來對蔣老頭行軍禮???偶像崇拜也要有個限度吧?!!要台灣人來崇拜一個殺台灣人的中國劊子手 真的是莫名的冷血殘忍 殺那麼多台灣人 還不屑下葬台灣 可恥!!
1	大家如果想要接近台灣表演藝術，麻煩多到旁邊的國家戲劇院、實驗劇場、國家音樂廳看演出，真的去認識藝文產業。只有來過中正紀念堂走馬看花不要談什麼藝文。
1	在這邊挽回前女友 最後還是失敗了
0	這麼單純的紀念館，全世界各個國家類似的都有，卻被綠色執政，這裏改，那裏改，真是讓人難過..........
1	建議留著紀念，但裡面應該要展示蔣中正的暴行，而不是莊嚴的好像他是什麼值得歌頌的偉人
1	今天真的是來運動的🤗
0	可以問一下警衛態度是在差什麼嗎像欠他錢一樣欸
0	毫無遮蔽的大型廣場根本是浪費寸土寸金的台北土地，不如改建成蓋體育館場。
1	硬體環境：有圍牆分隔開外界市街。圍牆裡沿著門廊有池塘綠樹植栽，值得休憩。核心廣場是不透水白色磁磚鋪面，無遮陰，晴天時日光刺眼且炎熱，雨天需留意腳步避免滑倒。整體綠地不足且分佈不均。 …
0	這是我當兵時回營的集合點，所以我給一顆星
1	中正廟 威權象徵
1	堂內花卉、樹木扶蘇,庭園設計頗俱特色;兩廳音樂、藝文表演更是文化界的大事。
1	市民休閒,集會熱門選擇點。
0	什麼時後要拆
1	末學有參與年度慈濟浴佛大典（每年的第二個星期日）“謂之：佛恩、親恩、眾生恩三節合一”，假台北國立中正紀念堂的廣場舉行兩萬伍仟多位大眾共同浴佛盛典，場景非常莊嚴肅穆，萬眾一心恆持剎那如同日月，祈求天下無災社會祥和，個人透過此刻殊勝因緣而得平常喜樂，最愛的是“淨心”！如是    凝聚力無量矣。
1	歷史的傳承是成就一個國家偉大的關鍵要素，偏偏我們國家有一群人整天要推翻自己不認同的部分。台灣民主紀念園區是什麼？是你說了算嗎？乾脆改成民進黨總部好不好，Google開放命名功能是希望集眾人之力來分享訊息，而不是讓少數人用來自嗨像野生動物撒尿劃定勢力範圍的，強力要求Google官方回復其原名稱「中正紀念堂」！
0	國家級園區請不要亂改名稱好嗎？
1	請正名：國立中正紀念堂
0	查詢地圖用一大片建物彩圖蓋住地圖的意義是什麼?小屁孩是沒彩圖日子過不了嗎？可以只顯示地圖嗎？查地圖就是只要地圖，誰要看該建物的彩圖了！智障是不是?
0	谷歌也算是個大公司,怎麼設計的地圖裡面的資訊任由亂七八糟的人更改?都不求證的嗎?明明是中正紀念堂,怎會是什麼民主園區?
1	因為這是紀念先總統蔣公而設的場所，自有其歷史意義，不該用政治力介入，強行變更。畢竟蔣中正總統在國際上也有他的歷史定位。
0	這是一個國立景點不是私人住宅。
0	中正紀念堂的展覽地點標示不清，建議可以設置指標，民眾才不會浪費時間。
0	在裡面的詳細介紹還是一樣是『國立中正紀念堂』 完全沒有任何 查證之後就更改！？
0	我並不討厭這個地點，我厭惡貴公司這不嚴謹的產品，這個地點是非常著名的景點，原本有著一個為人熟知的地名，叫做「中正紀念堂」。今日卻在被貴公司改成別的地名，不知貴公司是否有經過合法授權更改地名?
1	你GOOGLE自己的資訊速覽說到："中正紀念堂是中華民國首都臺北市中正區一座為紀念前中華民國總統蔣中正而興建的建築，落成以來成為臺北市在國際上最著名地標之一，也是眾多紀念蔣中正總統的建築中規模最大者。"
0	最可惡的是google地圖的管理者,不分青紅,不尊重國家對特定地名及建築的命名,僅隨某部份人的意見就更改地名或名稱,管理者是腦補嗎？
0	一群上不了檯面的台毒人士，有本事520時就去包圍總統府，要求民進黨實現對你們這群人的諾言，宣布獨立！而不是躲在網路中竄改地名、竄改歷史！你們的行為非常的不民主，你們這群台毒人士就是是台灣的恥辱！
0	偶然看到這也能變古蹟,沒有負五星只能給一星
0	女生在中正纪念堂看仪式的时候注意了，有变态在后面搜寻女生做猥亵动作，我在看仪式的时候没有察觉，被台湾当地人好心提醒，然后我看到变态换了下一个目标。我当时很想上前揍变态，但是不是本地人害怕会触犯当地法律。建议来台旅游的男生保护好女生，遇到变态帮忙逮住并联系警察。
0	更個名就能改變事實？
0	你們要不要每個人都去改成郭台銘，看看會不會也變成富豪...
0	小鼻子小眼睛，能幹什麼事？
0	裡面放一尊好大尊的殺人魔銅像是想嚇唬誰，明明1980才蓋的廢物還要出來騙人家說是古蹟，無恥沒有極限。
0	獨裁者紀念館，不改名就是在羞辱台灣人。不值得作為地標。
0	你什麼東西啊！
0	台灣的地標之一是可以讓你們這樣亂改的嗎？
0	就像別人改了你家祖墳是一樣的道理!
0	戶外超熱一點都不像公共空間 紀念品店跟廁所好一點
1	自由廣場：對役男們來說
1	是距離自由最近也是最遠的廣場
0	媽的又收假了啦
0	Google MAP 連法定名稱都搞不清楚嗎？是不是要寫 Mail 到總部投訴才行？如果7天內再不改善，串連所有網友一人一封信，投訴到 Google 總部，要求改正名稱，並要求嚴逞相關人員 …
0	搞什麼東東啊？
0	Google在耍什麼低級下限... …
0	明明叫中正紀念堂，就有些政治狂熱份子愛亂改名稱。不高興就別去啊！
0	老舊的地板樓梯 總是看起來髒髒的
0	禁止人民晚上12點後進入 這好像是用我的納稅錢建造的欸
0	走路走到腳很酸， 又令人再三尿急，真是大而無當，冗長的建物.
0	搭捷運碰到插隊的一家人，真是爛
0	嫌惡設施周遭房價怎麼還那麼貴
1	蔣中正先生的廟。下面有紀念廳，放好多蔣先生的遺物。
0	施工區旁人行走道的夜間照明應加強
0	路標不清晰～對機車騎駛不友善！
1	中正紀念堂台北地標，寛廣建築活動好地方
1	石岡一郎的廟而已，但後面的公園真的值得一去，很清幽
1	地理位置優越，環境優美的，觀光聖地，值得一遊
0	拆了我就給五星，這建物連一星都不值。
1	建築並不美觀 ，倒是外面表演廳非常棒
0	停車費太貴，且園區名稱被意識形態治國的政府亂改
0	好幹就拆阿~無能
