,label,text
0,1,當然外觀和內飾了
1,1,提速很不錯，在路上就是一亮點
2,1,操控好，越來越順手
3,1,操控很舒服
4,1,整車的乘坐舒適度
5,1,最滿意就是內飾，led燈光，還有外觀
6,1,最滿意的應該就是底盤懸掛了，開起來過個減速帶震感很小，而且過完的時候車子也非常的穩
7,1,最滿意的是他的座椅記憶功能，雖然是小功能但是很貼心
8,1,最滿意的是就內飾了，夠舒適
9,1,最滿意的算是外觀和整個車的安全構造設計，銷售介紹的氣簾esp什麼的銷售講的蠻多的，覺得比一些其他品牌說的詳細
10,1,相當霸氣的外形，高端上檔次的內飾，還有舒適的車內空間。
11,1,空間大、當然就是外觀和內飾了
12,1,空間大，上路很有面子
13,1,空間大，動力好，靜音非常棒，操控也十分的棒！
14,1,空間比較大，外觀好看
15,1,空間，大，外觀也很喜歡，我90後的朋友都說我應該買年輕一點的車，這車顯老，可是我就喜歡這種穩重型的。
16,1,純自主品脾能有不遜於合資品牌的表現。內飾用料比較實在。外觀符合國人審美觀點。希望廣汽傳祺能夠把ga8從品質上真正打造成國貨精品。可以打8分。
17,1,車大氣，空間大，舒適
18,1,車是真心不錯性價比很高
19,1,車的外形大氣上檔次，特別穩重
20,1,那就是這個車的舒適性真是太好了！堪稱完美！超靜音！做過的朋友都說好！
21,1,隔音避震換擋邏輯外觀大氣上檔次
22,1,音響很給力，聲音比較清楚，低音炮也很給力，外觀也比較喜歡
23,1,舒適的空間，沒有異味，只有淡淡的真皮味道。車子雖大，但操控很靈活，開起來穩，輕點油門，馬上上100。最喜歡迎賓座椅功能，很高級很貼心。空調很凍。音響效果真好，聽着音樂開車非常享受！
24,1,外觀大氣沉穩、內飾簡潔明朗、動力也夠用，我最想說的是配置、配置、配置，真心的不錯挺厚道的
25,1,最滿意的就是內飾，中控大氣，在用料子方面更是舒適，做工也十分精湛
26,1,品牌文化&前臉
27,1,當然m套件，第一次看到就深深的中毒了，在看其他車都沒有正眼看過。再就328的動力了，開起來真的太爽了。
28,1,配置，有後視鏡倒車翻轉，防炫目，重點是8個喇叭聽流行還不錯！
29,1,這個毫無疑問，操控肯定是第一位的，車子開起來也是很輕鬆；接着就是m套件的外觀真心帥！讓320i的外觀上了一個臺階，變得更有氣質。
30,1,今天停車，後面一個車子下來一個女的，老是看我這車
31,1,側進氣口無框玻璃門自動尾翼加速性
32,1,加速和過彎，變道和超車真心不錯！和朋友的320li比起來我的標軸版更快更穩，車身很隨性比加長版還是要強那麼些的。另外，油耗也要低一些。
33,1,動力充沛，方向精準，外觀拉風
34,1,動力隨叫隨到，外形帥氣，尾翼吊炸天，四車門燈帥爆
35,1,回頭率那是槓槓的，全景天窗，正副可電動調節座椅，無框車門，底盤高度，藍天白雲標，運動模式下提速隨踩隨到。
36,1,外形時尚、能拉貨，寶馬牌客貨兩用車！
37,1,外形：無邊框窗，掀背，全景天窗。
38,1,外觀不錯，空間比較大，2920的軸距，後備箱超大，出去玩可以帶許多東西！特別是我們添了寶寶的家庭
39,1,外觀動力操控空間都很滿意。
40,1,外觀和尾翼以及無框門！
41,1,外觀帥氣、無框車門、裝x尾翼、精準的方向加上bmw進口品質
42,1,外觀比例協調，不低調也不高調；細節不多不少，剛剛好；天使眼靈動，既兇悍又妖嬈；藍天白雲螺旋標，很好！
43,1,外觀獨特，無框車門，自動尾翼，溜背造型，進口品質。動力總成平順性很高，低速很穩，高速也有力
